	EF1	EF2	EH1	EH2
Cluster-309.0	0	1	4	6
Cluster-310.0	0	1	7	4
Cluster-311.0	0	1	8	8
Cluster-312.0	0	1	9	4
Cluster-313.0	0	1	3	7
Cluster-314.0	0	1	7	3
Cluster-315.0	0	2	6	7
Cluster-316.0	0	1	7	4
Cluster-317.0	0	2	6	5
Cluster-318.0	0	2	7	2
Cluster-319.0	0	1	8	3
Cluster-320.0	0	1	9	8
Cluster-321.0	0	1	6	4
Cluster-322.0	0	2	5	7
Cluster-323.0	0	1	21	16
Cluster-324.0	2	4	9	2
Cluster-325.0	0	1	10	13
Cluster-326.0	0	2	10	2
Cluster-327.0	0	1	5	6
Cluster-328.0	0	1	71	85
Cluster-329.0	0	1	7	5
Cluster-330.0	0	1	8	7
Cluster-331.0	0	1	8	3
Cluster-332.0	0	2	11	2
Cluster-333.0	0	1	8	3
Cluster-334.0	0	1	16	3
Cluster-335.0	0	1	2	9
Cluster-336.0	0	1	6	6
Cluster-337.0	0	2	4	9
Cluster-338.0	0	1	3	7
Cluster-339.0	0	1	8	3
Cluster-340.0	0	1	4	7
Cluster-341.0	0	1	9	1
Cluster-342.0	0	1	4	7
Cluster-343.0	0	2	6	3
Cluster-344.0	0	1	5	5
Cluster-345.0	0	2	7	2
Cluster-346.0	0	1	35	10
Cluster-347.0	0	1	6	4
Cluster-348.0	0	1	7	4
Cluster-349.0	0	1	10	4
Cluster-350.0	0	2	1	9
Cluster-351.0	0	1	6	5
Cluster-352.0	0	1	9	4
Cluster-353.0	1	1	6	5
Cluster-353.1	0	1	12	9
Cluster-354.0	0	1	6	8
Cluster-355.0	0	2	8	2
Cluster-356.0	0	1	4	6
Cluster-357.0	0	2	5	4
Cluster-358.0	0	2	6	3
Cluster-359.0	1	2	13	6
Cluster-360.0	0	1	6	4
Cluster-361.0	3	2	16	11
Cluster-362.0	1	5	6	8
Cluster-363.0	0	1	5	5
Cluster-364.0	0	4	9	7
Cluster-365.0	0	3	1	7
Cluster-366.0	0	1	7	7
Cluster-367.0	0	1	5	6
Cluster-368.0	28	27	44	38
Cluster-369.0	0	1	6	5
Cluster-370.0	0	1	5	8
Cluster-371.0	0	1	7	3
Cluster-372.0	0	1	6	7
Cluster-373.0	0	2	4	7
Cluster-374.0	0	2	6	3
Cluster-375.0	0	1	7	4
Cluster-376.0	0	1	13	3
Cluster-377.0	0	2	8	4
Cluster-378.0	0	1	5	6
Cluster-379.0	0	1	7	7
Cluster-380.0	0	2	7	2
Cluster-381.0	4	6	15	11
Cluster-382.0	0	2	5	7
Cluster-383.0	0	1	8	3
Cluster-384.0	0	2	9	5
Cluster-385.0	0	2	4	6
Cluster-386.0	0	1	8	5
Cluster-387.0	0	1	6	5
Cluster-388.0	0	1	6	5
Cluster-389.0	0	4	3	8
Cluster-390.0	1	1	9	5
Cluster-391.0	0	2	6	3
Cluster-392.0	0	1	4	13
Cluster-393.0	0	1	3	7
Cluster-394.0	0	3	4	5
Cluster-395.0	0	1	3	8
Cluster-396.0	0	3	7	6
Cluster-397.0	0	1	6	6
Cluster-398.0	0	2	7	5
Cluster-399.0	0	1	6	5
Cluster-400.0	0	1	8	5
Cluster-401.0	0	1	2	12
Cluster-402.0	0	1	8	6
Cluster-403.0	0	1	11	9
Cluster-404.0	0	1	14	6
Cluster-405.0	0	1	6	11
Cluster-406.0	0	4	3	4
Cluster-407.0	0	2	4	7
Cluster-408.0	0	1	7	4
Cluster-409.0	0	1	5	5
Cluster-410.0	0	1	8	7
Cluster-411.0	0	1	4	6
Cluster-412.0	0	2	5	9
Cluster-413.0	0	3	4	6
Cluster-414.0	4	4	5	5
Cluster-414.1	3	4	32	17
Cluster-415.0	0	1	13	10
Cluster-416.0	0	3	3	12
Cluster-417.0	0	3	3	5
Cluster-418.0	0	2	4	8
Cluster-419.0	0	1	7	3
Cluster-420.0	0	2	4	7
Cluster-421.0	0	2	4	5
Cluster-422.0	0	1	10	10
Cluster-423.0	0	3	4	7
Cluster-424.0	0	2	9	2
Cluster-425.0	0	1	16	9
Cluster-426.0	0	1	7	4
Cluster-427.0	0	1	8	3
Cluster-428.0	0	1	44	36
Cluster-429.0	0	3	5	5
Cluster-430.0	1	2	7	7
Cluster-431.0	0	3	6	4
Cluster-432.0	0	1	7	3
Cluster-433.0	0	2	5	4
Cluster-434.0	0	3	1	5
Cluster-434.1	0	0	5	5
Cluster-435.0	0	2	5	5
Cluster-436.0	0	1	8	2
Cluster-437.0	0	1	11	4
Cluster-437.1	1	1	1	2
Cluster-438.0	0	4	8	6
Cluster-439.0	1	4	52	36
Cluster-440.0	0	2	9	4
Cluster-441.0	0	1	7	3
Cluster-442.0	0	2	176	161
Cluster-443.0	0	3	8	2
Cluster-444.0	4	0	4	13
Cluster-444.1	2	4	21	13
Cluster-445.0	0	1	11	6
Cluster-446.0	0	3	5	3
Cluster-447.0	0	2	10	8
Cluster-448.0	0	2	6	3
Cluster-449.0	0	2	6	3
Cluster-450.0	0	1	5	7
Cluster-451.0	0	1	6	8
Cluster-452.0	0	3	6	5
Cluster-453.0	0	1	6	5
Cluster-454.0	0	3	7	9
Cluster-455.0	0	2	11	8
Cluster-456.0	0	1	6	4
Cluster-457.0	0	2	12	13
Cluster-458.0	0	1	6	5
Cluster-459.0	0	1	12	5
Cluster-460.0	0	3	6	8
Cluster-461.0	0	1	5	6
Cluster-462.0	0	2	5	4
Cluster-463.0	0	2	9	4
Cluster-464.0	0	4	6	4
